Number 1 to 100000
2040 and 11424 are FRIENDLY
2044 and 36208 are FRIENDLY
2046 and 9548 are FRIENDLY
2076 and 40482 are FRIENDLY
2082 and 9716 are FRIENDLY
2094 and 9772 are FRIENDLY
2100 and 37200 are FRIENDLY
2100 and 40950 are FRIENDLY
2118 and 9884 are FRIENDLY
2120 and 11872 are FRIENDLY
2130 and 9940 are FRIENDLY
2148 and 41886 are FRIENDLY
2154 and 10052 are FRIENDLY
2160 and 5400 are FRIENDLY
2160 and 13104 are FRIENDLY
2166 and 10108 are FRIENDLY
2172 and 42354 are FRIENDLY
2190 and 10220 are FRIENDLY
2202 and 10276 are FRIENDLY
2212 and 39184 are FRIENDLY
2220 and 43290 are FRIENDLY
2238 and 10444 are FRIENDLY
2244 and 43758 are FRIENDLY
2262 and 10556 are FRIENDLY
2268 and 40176 are FRIENDLY
2274 and 10612 are FRIENDLY
2280 and 12768 are FRIENDLY
2292 and 44694 are FRIENDLY
2295 and 13923 are FRIENDLY
2298 and 10724 are FRIENDLY
2316 and 45162 are FRIENDLY
2320 and 5800 are FRIENDLY
2324 and 41168 are FRIENDLY
2334 and 10892 are FRIENDLY
2346 and 10948 are FRIENDLY
2360 and 13216 are FRIENDLY
2364 and 46098 are FRIENDLY
2370 and 11060 are FRIENDLY
2380 and 42160 are FRIENDLY
2382 and 11116 are FRIENDLY
2388 and 46566 are FRIENDLY
2406 and 11228 are FRIENDLY
2418 and 11284 are FRIENDLY
2436 and 7830 are FRIENDLY
2436 and 43152 are FRIENDLY
2436 and 47502 are FRIENDLY
2440 and 13664 are FRIENDLY
2442 and 11396 are FRIENDLY
2454 and 11452 are FRIENDLY
2460 and 47970 are FRIENDLY
2480 and 6200 are FRIENDLY
2480 and 40640 are FRIENDLY
2490 and 11620 are FRIENDLY
2492 and 44144 are FRIENDLY
2508 and 48906 are FRIENDLY
2514 and 11732 are FRIENDLY
2526 and 11788 are FRIENDLY
2532 and 49374 are FRIENDLY
2550 and 11900 are FRIENDLY
2565 and 15561 are FRIENDLY
2580 and 50310 are FRIENDLY
2586 and 12068 are FRIENDLY
2598 and 12124 are FRIENDLY
2604 and 8370 are FRIENDLY
2604 and 50778 are FRIENDLY
2622 and 12236 are FRIENDLY
2634 and 12292 are FRIENDLY
2640 and 6600 are FRIENDLY
2658 and 12404 are FRIENDLY
2660 and 47120 are FRIENDLY
2670 and 12460 are FRIENDLY
2676 and 52182 are FRIENDLY
2680 and 15008 are FRIENDLY
2694 and 12572 are FRIENDLY
2706 and 12628 are FRIENDLY
2716 and 48112 are FRIENDLY
2724 and 53118 are FRIENDLY
2742 and 12796 are FRIENDLY
2748 and 53586 are FRIENDLY
2760 and 15456 are FRIENDLY
2766 and 12908 are FRIENDLY
2772 and 49104 are FRIENDLY
2778 and 12964 are FRIENDLY
2796 and 54522 are FRIENDLY
2802 and 13076 are FRIENDLY
2820 and 54990 are FRIENDLY
2828 and 50096 are FRIENDLY
2838 and 13244 are FRIENDLY
2840 and 15904 are FRIENDLY
2850 and 13300 are FRIENDLY
2868 and 55926 are FRIENDLY
2874 and 13412 are FRIENDLY
2884 and 51088 are FRIENDLY
2886 and 13468 are FRIENDLY
2892 and 56394 are FRIENDLY
2910 and 13580 are FRIENDLY
2920 and 16352 are FRIENDLY
2922 and 13636 are FRIENDLY
2940 and 57330 are FRIENDLY
2946 and 13748 are FRIENDLY
2958 and 13804 are FRIENDLY
2960 and 7400 are FRIENDLY
2970 and 16368 are FRIENDLY
2970 and 18018 are FRIENDLY
2994 and 13972 are FRIENDLY
2996 and 53072 are FRIENDLY
3012 and 58734 are FRIENDLY
3018 and 14084 are FRIENDLY
