Number 1 to 100000
19470 and 90860 are FRIENDLY
19482 and 90916 are FRIENDLY
19506 and 91028 are FRIENDLY
19518 and 91084 are FRIENDLY
19542 and 91196 are FRIENDLY
19554 and 91252 are FRIENDLY
19572 and 62910 are FRIENDLY
19578 and 91364 are FRIENDLY
19584 and 43008 are FRIENDLY
19590 and 91420 are FRIENDLY
19626 and 91588 are FRIENDLY
19650 and 91700 are FRIENDLY
19662 and 91756 are FRIENDLY
19686 and 91868 are FRIENDLY
19722 and 92036 are FRIENDLY
19734 and 92092 are FRIENDLY
19758 and 92204 are FRIENDLY
19760 and 49400 are FRIENDLY
19770 and 92260 are FRIENDLY
19794 and 92372 are FRIENDLY
19806 and 92428 are FRIENDLY
19830 and 92540 are FRIENDLY
19842 and 92596 are FRIENDLY
19872 and 21528 are FRIENDLY
19878 and 92764 are FRIENDLY
19902 and 92876 are FRIENDLY
19914 and 92932 are FRIENDLY
19920 and 49800 are FRIENDLY
19938 and 93044 are FRIENDLY
19974 and 93212 are FRIENDLY
19986 and 93268 are FRIENDLY
20010 and 93380 are FRIENDLY
20022 and 93436 are FRIENDLY
20046 and 93548 are FRIENDLY
20058 and 93604 are FRIENDLY
20076 and 64530 are FRIENDLY
20080 and 50200 are FRIENDLY
20082 and 93716 are FRIENDLY
20094 and 93772 are FRIENDLY
20130 and 93940 are FRIENDLY
20154 and 94052 are FRIENDLY
20166 and 94108 are FRIENDLY
20190 and 94220 are FRIENDLY
20226 and 94388 are FRIENDLY
20238 and 94444 are FRIENDLY
20240 and 50600 are FRIENDLY
20244 and 65070 are FRIENDLY
20262 and 94556 are FRIENDLY
20274 and 94612 are FRIENDLY
20298 and 94724 are FRIENDLY
20310 and 94780 are FRIENDLY
20334 and 94892 are FRIENDLY
20346 and 94948 are FRIENDLY
20382 and 95116 are FRIENDLY
20406 and 95228 are FRIENDLY
20418 and 95284 are FRIENDLY
20442 and 95396 are FRIENDLY
20478 and 95564 are FRIENDLY
20490 and 95620 are FRIENDLY
20514 and 95732 are FRIENDLY
20526 and 95788 are FRIENDLY
20550 and 95900 are FRIENDLY
20560 and 51400 are FRIENDLY
20562 and 95956 are FRIENDLY
20586 and 96068 are FRIENDLY
20598 and 96124 are FRIENDLY
20634 and 96292 are FRIENDLY
20658 and 96404 are FRIENDLY
20670 and 96460 are FRIENDLY
20694 and 96572 are FRIENDLY
20720 and 51800 are FRIENDLY
20730 and 96740 are FRIENDLY
20742 and 96796 are FRIENDLY
20748 and 66690 are FRIENDLY
20766 and 96908 are FRIENDLY
20778 and 96964 are FRIENDLY
20802 and 97076 are FRIENDLY
20814 and 97132 are FRIENDLY
20838 and 97244 are FRIENDLY
20850 and 97300 are FRIENDLY
20880 and 52200 are FRIENDLY
20886 and 97468 are FRIENDLY
20910 and 97580 are FRIENDLY
20922 and 97636 are FRIENDLY
20946 and 97748 are FRIENDLY
20982 and 97916 are FRIENDLY
20994 and 97972 are FRIENDLY
21018 and 98084 are FRIENDLY
21030 and 98140 are FRIENDLY
21040 and 52600 are FRIENDLY
21054 and 98252 are FRIENDLY
21066 and 98308 are FRIENDLY
21084 and 67770 are FRIENDLY
21090 and 98420 are FRIENDLY
21102 and 98476 are FRIENDLY
21138 and 98644 are FRIENDLY
21162 and 98756 are FRIENDLY
21174 and 98812 are FRIENDLY
21198 and 98924 are FRIENDLY
21234 and 99092 are FRIENDLY
21246 and 99148 are FRIENDLY
21252 and 68310 are FRIENDLY
21270 and 99260 are FRIENDLY
21282 and 99316 are FRIENDLY
21306 and 99428 are FRIENDLY
21318 and 99484 are FRIENDLY
21342 and 99596 are FRIENDLY
21354 and 99652 are FRIENDLY
21360 and 53400 are FRIENDLY
21390 and 99820 are FRIENDLY
21414 and 99932 are FRIENDLY
21426 and 99988 are FRIENDLY
21520 and 53800 are FRIENDLY
21588 and 69390 are FRIENDLY
21600 and 23400 are FRIENDLY
21680 and 54200 are FRIENDLY
21840 and 54600 are FRIENDLY
22092 and 71010 are FRIENDLY
22160 and 55400 are FRIENDLY
22320 and 27000 are FRIENDLY
22320 and 55800 are FRIENDLY
22344 and 32928 are FRIENDLY
22480 and 56200 are FRIENDLY
22596 and 72630 are FRIENDLY
22640 and 56600 are FRIENDLY
22764 and 73170 are FRIENDLY
22960 and 57400 are FRIENDLY
23120 and 57800 are FRIENDLY
23268 and 74790 are FRIENDLY
23280 and 58200 are FRIENDLY
23440 and 58600 are FRIENDLY
23604 and 75870 are FRIENDLY
23625 and 48825 are FRIENDLY
23760 and 59400 are FRIENDLY
23772 and 76410 are FRIENDLY
23920 and 59800 are FRIENDLY
24080 and 60200 are FRIENDLY
24240 and 60600 are FRIENDLY
24276 and 78030 are FRIENDLY
24560 and 61400 are FRIENDLY
24612 and 79110 are FRIENDLY
24720 and 61800 are FRIENDLY
24880 and 62200 are FRIENDLY
25040 and 62600 are FRIENDLY
25056 and 27144 are FRIENDLY
25116 and 80730 are FRIENDLY
25137 and 40131 are FRIENDLY
25296 and 27846 are FRIENDLY
25360 and 63400 are FRIENDLY
25520 and 63800 are FRIENDLY
25680 and 64200 are FRIENDLY
25788 and 82890 are FRIENDLY
25840 and 64600 are FRIENDLY
26124 and 83970 are FRIENDLY
26160 and 65400 are FRIENDLY
26292 and 84510 are FRIENDLY
26320 and 65800 are FRIENDLY
26480 and 66200 are FRIENDLY
26628 and 85590 are FRIENDLY
26640 and 66600 are FRIENDLY
26784 and 29016 are FRIENDLY
26796 and 86130 are FRIENDLY
26960 and 67400 are FRIENDLY
27000 and 55800 are FRIENDLY
27120 and 67800 are FRIENDLY
27132 and 87210 are FRIENDLY
27280 and 68200 are FRIENDLY
27440 and 68600 are FRIENDLY
27760 and 69400 are FRIENDLY
27804 and 89370 are FRIENDLY
27920 and 69800 are FRIENDLY
28080 and 70200 are FRIENDLY
28160 and 54400 are FRIENDLY
28240 and 70600 are FRIENDLY
28272 and 31122 are FRIENDLY
28308 and 90990 are FRIENDLY
28560 and 71400 are FRIENDLY
28644 and 92070 are FRIENDLY
28720 and 71800 are FRIENDLY
28880 and 72200 are FRIENDLY
29040 and 72600 are FRIENDLY
29148 and 93690 are FRIENDLY
29316 and 94230 are FRIENDLY
29360 and 73400 are FRIENDLY
29520 and 73800 are FRIENDLY
29652 and 95310 are FRIENDLY
29680 and 74200 are FRIENDLY
29840 and 74600 are FRIENDLY
30156 and 96930 are FRIENDLY
30160 and 75400 are FRIENDLY
30240 and 32760 are FRIENDLY
30320 and 75800 are FRIENDLY
30324 and 97470 are FRIENDLY
30480 and 76200 are FRIENDLY
30640 and 76600 are FRIENDLY
30828 and 99090 are FRIENDLY
30960 and 77400 are FRIENDLY
31120 and 77800 are FRIENDLY
31280 and 78200 are FRIENDLY
31440 and 78600 are FRIENDLY
31760 and 79400 are FRIENDLY
31920 and 79800 are FRIENDLY
31968 and 34632 are FRIENDLY
32080 and 80200 are FRIENDLY
32240 and 80600 are FRIENDLY
32560 and 81400 are FRIENDLY
32720 and 81800 are FRIENDLY
32880 and 82200 are FRIENDLY
33040 and 82600 are FRIENDLY
33360 and 83400 are FRIENDLY
33520 and 83800 are FRIENDLY
33680 and 84200 are FRIENDLY
33840 and 84600 are FRIENDLY
34160 and 85400 are FRIENDLY
34224 and 37674 are FRIENDLY
34320 and 85800 are FRIENDLY
34480 and 86200 are FRIENDLY
34640 and 86600 are FRIENDLY
34960 and 87400 are FRIENDLY
35120 and 87800 are FRIENDLY
35280 and 88200 are FRIENDLY
35424 and 38376 are FRIENDLY
35440 and 88600 are FRIENDLY
35760 and 89400 are FRIENDLY
35920 and 89800 are FRIENDLY
36080 and 90200 are FRIENDLY
36240 and 90600 are FRIENDLY
36560 and 91400 are FRIENDLY
36720 and 91800 are FRIENDLY
36880 and 92200 are FRIENDLY
37040 and 92600 are FRIENDLY
37125 and 76725 are FRIENDLY
37152 and 40248 are FRIENDLY
37200 and 40950 are FRIENDLY
37240 and 54880 are FRIENDLY
37360 and 93400 are FRIENDLY
37520 and 93800 are FRIENDLY
37680 and 94200 are FRIENDLY
37840 and 94600 are FRIENDLY
38160 and 95400 are FRIENDLY
38320 and 95800 are FRIENDLY
38480 and 96200 are FRIENDLY
38640 and 96600 are FRIENDLY
38960 and 97400 are FRIENDLY
39000 and 74400 are FRIENDLY
39120 and 97800 are FRIENDLY
39280 and 98200 are FRIENDLY
39440 and 98600 are FRIENDLY
39760 and 99400 are FRIENDLY
39920 and 99800 are FRIENDLY
40608 and 43992 are FRIENDLY
42336 and 45864 are FRIENDLY
43152 and 47502 are FRIENDLY
43875 and 90675 are FRIENDLY
45696 and 89376 are FRIENDLY
45792 and 49608 are FRIENDLY
47250 and 97650 are FRIENDLY
47520 and 51480 are FRIENDLY
50274 and 80262 are FRIENDLY
50976 and 55224 are FRIENDLY
52704 and 57096 are FRIENDLY
55056 and 60606 are FRIENDLY
57888 and 62712 are FRIENDLY
61008 and 67158 are FRIENDLY
61344 and 66456 are FRIENDLY
61446 and 75460 are FRIENDLY
63072 and 68328 are FRIENDLY
63984 and 70434 are FRIENDLY
66528 and 72072 are FRIENDLY
67032 and 98784 are FRIENDLY
68256 and 73944 are FRIENDLY
69936 and 76986 are FRIENDLY
71712 and 77688 are FRIENDLY
72618 and 89180 are FRIENDLY
73440 and 79560 are FRIENDLY
76896 and 83304 are FRIENDLY
78864 and 86814 are FRIENDLY
81840 and 90090 are FRIENDLY
82080 and 88920 are FRIENDLY
83808 and 90792 are FRIENDLY
87264 and 94536 are FRIENDLY
87792 and 96642 are FRIENDLY
88992 and 96408 are FRIENDLY
90768 and 99918 are FRIENDLY
